"method","p","graph","icov","n","log.recall.min","log.recall.max","log.aupr","clr.recall.min","clr.recall.max","clr.aupr"
"glasso","64","band","neg","32",0.0476190476190476,0.873015873015873,0.186641388401684,0.0317460317460317,0.952380952380952,0.127971009257546
"glasso","64","band","neg","32",0,0.873015873015873,0.118527881306216,0,0.873015873015873,0.0863569592580659
"glasso","64","band","neg","32",0.0634920634920635,0.904761904761905,0.112985316408922,0.0634920634920635,0.873015873015873,0.101687705415903
"glasso","64","band","neg","32",0.0634920634920635,0.888888888888889,0.11860082832562,0.0317460317460317,0.888888888888889,0.0839083998600221
"glasso","64","band","neg","32",0.0158730158730159,0.888888888888889,0.102388450278691,0.0476190476190476,0.80952380952381,0.105212724622199
"glasso","64","band","neg","32",0.0952380952380952,0.904761904761905,0.189773799025411,0,0.952380952380952,0.125535109931389
"glasso","64","band","neg","32",0.0158730158730159,0.80952380952381,0.112650382347485,0.0158730158730159,0.873015873015873,0.0745405226120305
"glasso","64","band","neg","32",0.0793650793650794,0.873015873015873,0.123756352286629,0.0634920634920635,0.841269841269841,0.106897902214393
"glasso","64","band","neg","32",0.0317460317460317,0.888888888888889,0.160582459268683,0.0317460317460317,0.873015873015873,0.0977281657997549
"glasso","64","band","neg","32",0.126984126984127,0.904761904761905,0.233670294983113,0.0793650793650794,0.857142857142857,0.220753678455413
"glasso","64","band","neg","32",0.0317460317460317,0.904761904761905,0.164919148200484,0.0317460317460317,0.857142857142857,0.125267105331656
"glasso","64","band","neg","32",0.0634920634920635,0.920634920634921,0.147439724885482,0.0476190476190476,0.888888888888889,0.11271345568603
"glasso","64","band","neg","32",0.0476190476190476,0.873015873015873,0.169957379709814,0.0158730158730159,0.904761904761905,0.124726620192645
"glasso","64","band","neg","32",0.0158730158730159,0.873015873015873,0.116342802628269,0.0158730158730159,0.920634920634921,0.0871493184357899
"glasso","64","band","neg","32",0.0634920634920635,0.936507936507937,0.16959381211613,0.0317460317460317,0.904761904761905,0.123877529111576
"glasso","64","band","neg","32",0.111111111111111,0.873015873015873,0.160571437513835,0.0793650793650794,0.857142857142857,0.143115491187676
"glasso","64","band","neg","32",0.0476190476190476,0.841269841269841,0.132648677404002,0.0317460317460317,0.904761904761905,0.0940755653868645
"glasso","64","band","neg","32",0.0952380952380952,0.952380952380952,0.278934823311103,0.0952380952380952,0.888888888888889,0.245317122714895
"glasso","64","band","neg","32",0.0476190476190476,0.936507936507937,0.227288984944239,0.0793650793650794,0.920634920634921,0.182447017182029
"glasso","64","band","neg","32",0.0793650793650794,0.904761904761905,0.21449389775656,0.0793650793650794,0.873015873015873,0.155625051252324
"glasso","64","band","neg","64",0.0634920634920635,0.984126984126984,0.257374135608417,0.0634920634920635,0.952380952380952,0.166649594661255
"glasso","64","band","neg","64",0.0952380952380952,0.984126984126984,0.380452261129704,0.0634920634920635,0.952380952380952,0.334464017547439
"glasso","64","band","neg","64",0.0158730158730159,1,0.457916212961908,0.0158730158730159,0.984126984126984,0.344612903106608
"glasso","64","band","neg","64",0.0317460317460317,0.968253968253968,0.454173306062169,0.0317460317460317,0.936507936507937,0.355275063698391
"glasso","64","band","neg","64",0.126984126984127,0.952380952380952,0.352942562904852,0.0952380952380952,0.968253968253968,0.22346962718748
"glasso","64","band","neg","64",0.0634920634920635,0.984126984126984,0.485759075197685,0.0476190476190476,0.968253968253968,0.406875547724541
"glasso","64","band","neg","64",0.0793650793650794,1,0.281314333938749,0.0793650793650794,0.968253968253968,0.282678778505506
"glasso","64","band","neg","64",0.0317460317460317,1,0.343682945831104,0.0317460317460317,0.968253968253968,0.274668519005095
"glasso","64","band","neg","64",0.0317460317460317,1,0.40361413632767,0.0317460317460317,0.968253968253968,0.325156388445005
"glasso","64","band","neg","64",0.0793650793650794,0.984126984126984,0.429776175450984,0.0476190476190476,0.952380952380952,0.293339099148164
"glasso","64","band","neg","64",0.0952380952380952,1,0.458126480903495,0.0793650793650794,1,0.385181849695361
"glasso","64","band","neg","64",0.0476190476190476,0.984126984126984,0.405682788304663,0.0476190476190476,1,0.344991491137599
"glasso","64","band","neg","64",0.111111111111111,1,0.459426435743553,0.0793650793650794,0.984126984126984,0.381789364324753
"glasso","64","band","neg","64",0.0634920634920635,0.984126984126984,0.451241579452982,0.0793650793650794,0.984126984126984,0.381525205890744
"glasso","64","band","neg","64",0.0793650793650794,1,0.375275918272716,0.0634920634920635,1,0.316502379430547
"glasso","64","band","neg","64",0.0634920634920635,0.984126984126984,0.309851473894273,0.0634920634920635,0.968253968253968,0.256420820594929
"glasso","64","band","neg","64",0.111111111111111,1,0.502339025822698,0.142857142857143,0.984126984126984,0.37575638043058
"glasso","64","band","neg","64",0.0634920634920635,1,0.388052932674564,0.0634920634920635,0.952380952380952,0.313239083804462
"glasso","64","band","neg","64",0.0952380952380952,0.968253968253968,0.281304097952284,0.0634920634920635,0.952380952380952,0.227738624996774
"glasso","64","band","neg","64",0.0476190476190476,0.984126984126984,0.4243751321925,0.0793650793650794,0.968253968253968,0.346608279991157
"glasso","64","band","neg","128",0.0634920634920635,1,0.732508394200752,0.0634920634920635,1,0.646565986142551
"glasso","64","band","neg","128",0.0793650793650794,1,0.685532810776262,0.0793650793650794,1,0.544593964761037
"glasso","64","band","neg","128",0.142857142857143,1,0.698741212399336,0.126984126984127,0.984126984126984,0.604721135288384
"glasso","64","band","neg","128",0.126984126984127,1,0.756599403107284,0.126984126984127,1,0.638341382060394
"glasso","64","band","neg","128",0.0476190476190476,1,0.693399766530474,0.0158730158730159,1,0.598813097322116
"glasso","64","band","neg","128",0.126984126984127,1,0.831112199243969,0.0952380952380952,1,0.747783513650935
"glasso","64","band","neg","128",0.0634920634920635,1,0.655229036127867,0.0317460317460317,1,0.527265436006034
"glasso","64","band","neg","128",0.0634920634920635,1,0.781690797365645,0.0634920634920635,1,0.695647021921336
"glasso","64","band","neg","128",0.222222222222222,1,0.720170300943221,0.206349206349206,0.984126984126984,0.540229151871264
"glasso","64","band","neg","128",0.0317460317460317,1,0.728691828995315,0.0317460317460317,1,0.638581540073341
"glasso","64","band","neg","128",0.0158730158730159,1,0.794512704308618,0.0317460317460317,1,0.656537039718335
"glasso","64","band","neg","128",0.0952380952380952,1,0.71099455580345,0.0793650793650794,1,0.644361892226076
"glasso","64","band","neg","128",0.0793650793650794,1,0.741912635280149,0.0634920634920635,1,0.59126959025584
"glasso","64","band","neg","128",0.0952380952380952,1,0.822354600423503,0.0476190476190476,1,0.697419557955383
"glasso","64","band","neg","128",0.111111111111111,1,0.706560157413328,0.158730158730159,1,0.573453430880362
