"otu","tax","phylum","class","order","family","genus"
"OTU_97.10059","Root;p__Bacteroidetes;c__Bacteroidia;o__Bacteroidales;f__Bacteroidaceae;g__Bacteroides","Bacteroidetes","Bacteroidia","Bacteroidales","Bacteroidaceae","Bacteroides"
"OTU_97.1060","Root;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Ruminococcaceae;g__Faecalibacterium","Firmicutes","Clostridia","Clostridiales","Ruminococcaceae","Faecalibacterium"
"OTU_97.10670","Root;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Ruminococcaceae;g__Faecalibacterium","Firmicutes","Clostridia","Clostridiales","Ruminococcaceae","Faecalibacterium"
"OTU_97.108","Root;p__Bacteroidetes;c__Bacteroidia;o__Bacteroidales;f__Rikenellaceae;g__Alistipes","Bacteroidetes","Bacteroidia","Bacteroidales","Rikenellaceae","Alistipes"
"OTU_97.10895","Root;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Ruminococcaceae;g__Faecalibacterium","Firmicutes","Clostridia","Clostridiales","Ruminococcaceae","Faecalibacterium"
"OTU_97.12778","Root;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Ruminococcaceae;g__Faecalibacterium","Firmicutes","Clostridia","Clostridiales","Ruminococcaceae","Faecalibacterium"
"OTU_97.129","Root;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Ruminococcaceae;g__Subdoligranulum","Firmicutes","Clostridia","Clostridiales","Ruminococcaceae","Subdoligranulum"
"OTU_97.138","Root;p__Bacteroidetes;c__Bacteroidia;o__Bacteroidales;f__Rikenellaceae;g__Alistipes","Bacteroidetes","Bacteroidia","Bacteroidales","Rikenellaceae","Alistipes"
"OTU_97.1410","Root;p__Bacteroidetes;c__Bacteroidia;o__Bacteroidales;f__Bacteroidaceae;g__Bacteroides","Bacteroidetes","Bacteroidia","Bacteroidales","Bacteroidaceae","Bacteroides"
"OTU_97.15266","Root;p__Bacteroidetes;c__Bacteroidia;o__Bacteroidales;f__Rikenellaceae;g__Alistipes","Bacteroidetes","Bacteroidia","Bacteroidales","Rikenellaceae","Alistipes"
"OTU_97.154","Root;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Ruminococcaceae;g__Subdoligranulum","Firmicutes","Clostridia","Clostridiales","Ruminococcaceae","Subdoligranulum"
"OTU_97.1563","Root;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Ruminococcaceae;g__Faecalibacterium","Firmicutes","Clostridia","Clostridiales","Ruminococcaceae","Faecalibacterium"
"OTU_97.15750","Root;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Ruminococcaceae;g__Faecalibacterium","Firmicutes","Clostridia","Clostridiales","Ruminococcaceae","Faecalibacterium"
"OTU_97.15900","Root;p__Bacteroidetes;c__Bacteroidia;o__Bacteroidales;f__Bacteroidaceae;g__Bacteroides","Bacteroidetes","Bacteroidia","Bacteroidales","Bacteroidaceae","Bacteroides"
"OTU_97.164","Root;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Ruminococcaceae;g__Oscillospira","Firmicutes","Clostridia","Clostridiales","Ruminococcaceae","Oscillospira"
"OTU_97.16504","Root;p__Bacteroidetes;c__Bacteroidia;o__Bacteroidales;f__Bacteroidaceae;g__Bacteroides","Bacteroidetes","Bacteroidia","Bacteroidales","Bacteroidaceae","Bacteroides"
"OTU_97.16701","Root;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Ruminococcaceae;g__Faecalibacterium","Firmicutes","Clostridia","Clostridiales","Ruminococcaceae","Faecalibacterium"
"OTU_97.16907","Root;p__Bacteroidetes;c__Bacteroidia;o__Bacteroidales;f__Bacteroidaceae;g__Bacteroides","Bacteroidetes","Bacteroidia","Bacteroidales","Bacteroidaceae","Bacteroides"
"OTU_97.17467","Root;p__Bacteroidetes;c__Bacteroidia;o__Bacteroidales;f__Bacteroidaceae;g__Bacteroides","Bacteroidetes","Bacteroidia","Bacteroidales","Bacteroidaceae","Bacteroides"
"OTU_97.17625","Root;p__Bacteroidetes;c__Bacteroidia;o__Bacteroidales;f__Bacteroidaceae;g__Bacteroides","Bacteroidetes","Bacteroidia","Bacteroidales","Bacteroidaceae","Bacteroides"
"OTU_97.17895","Root;p__Bacteroidetes;c__Bacteroidia;o__Bacteroidales;f__Bacteroidaceae;g__Bacteroides","Bacteroidetes","Bacteroidia","Bacteroidales","Bacteroidaceae","Bacteroides"
"OTU_97.18176","Root;p__Bacteroidetes;c__Bacteroidia;o__Bacteroidales;f__Bacteroidaceae;g__Bacteroides","Bacteroidetes","Bacteroidia","Bacteroidales","Bacteroidaceae","Bacteroides"
"OTU_97.18729","Root;p__Bacteroidetes;c__Bacteroidia;o__Bacteroidales;f__Rikenellaceae;g__Alistipes","Bacteroidetes","Bacteroidia","Bacteroidales","Rikenellaceae","Alistipes"
"OTU_97.18807","Root;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Ruminococcaceae;g__Faecalibacterium","Firmicutes","Clostridia","Clostridiales","Ruminococcaceae","Faecalibacterium"
"OTU_97.18891","Root;p__Bacteroidetes;c__Bacteroidia;o__Bacteroidales;f__Rikenellaceae;g__Alistipes","Bacteroidetes","Bacteroidia","Bacteroidales","Rikenellaceae","Alistipes"
"OTU_97.192","Root;p__Bacteroidetes;c__Bacteroidia;o__Bacteroidales;f__Porphyromonadaceae;g__Odoribacter","Bacteroidetes","Bacteroidia","Bacteroidales","Porphyromonadaceae","Odoribacter"
"OTU_97.19587","Root;p__Bacteroidetes;c__Bacteroidia;o__Bacteroidales;f__Rikenellaceae;g__Alistipes","Bacteroidetes","Bacteroidia","Bacteroidales","Rikenellaceae","Alistipes"
"OTU_97.19677","Root;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Lachnospiraceae;g__Roseburia","Firmicutes","Clostridia","Clostridiales","Lachnospiraceae","Roseburia"
"OTU_97.197","Root;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Ruminococcaceae;g__Oscillospira","Firmicutes","Clostridia","Clostridiales","Ruminococcaceae","Oscillospira"
